ipv6.src,ipv6.dst,ipv6.nxt,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.cap_len
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,433
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,166
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,256
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,323
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:811::2003,6,53770,80,,,86
2404:6800:4002:80b::2004,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,53618,,,125
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80b::2004,6,53618,443,,,86
2404:6800:4002:804::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,48008,,,808
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:804::200e,6,48008,443,,,98
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38958,,,94
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38958,443,,,74
2404:6800:4002:80a::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,45214,,,86
2404:6800:4002:80a::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,45214,,,86
2404:6800:4002:80a::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,45214,,,148
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,86
2404:6800:4002:80a::200e,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,45214,,,117
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,86
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,110
2409:4051:28f:a045:9895:7c:f6f4:15dd,2404:6800:4002:80a::200e,6,45214,443,,,86
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,357
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,86
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,357
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,86
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,213
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,86
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,1294
2409:4051:28f:a045:9895:7c:f6f4:15dd,2606:2800:248:1707:10d3:19d0:1ba2:1a23,6,38952,443,,,86
2606:2800:248:1707:10d3:19d0:1ba2:1a23,2409:4051:28f:a045:9895:7c:f6f4:15dd,6,443,38952,,,1294
